Dist_Nm,Stat_Nm,state_d,dstrct_,Longitd,Lattitd
Panna,MADHYA PRADESH,14,1430,80.187955560000006,24.416435310000001
Betul,MADHYA PRADESH,14,1404,77.871926180000003,21.878644909999998
Niwari,MADHYA PRADESH,14,1455,78.748876550000006,25.284981129999998
Gondiya,MAHARASHTRA,15,1511,80.211550509999995,21.159048500000001
Bhandara,MAHARASHTRA,15,1505,79.758667520000003,21.122129149999999
Jalgaon,MAHARASHTRA,15,1514,75.487316660000005,20.933911720000001
Wardha,MAHARASHTRA,15,1533,78.585837470000001,20.797067970000001
Buldana,MAHARASHTRA,15,1507,76.407281690000005,20.510897020000002
Akola,MAHARASHTRA,15,1502,77.054945160000003,20.747791459999998
Nashik,MAHARASHTRA,15,1522,74.070689810000005,20.259672490000000
Gadchiroli,MAHARASHTRA,15,1510,80.240589540000002,19.788031910000001
Washim,MAHARASHTRA,15,1534,77.216724380000002,20.234408370000001
Chandrapur,MAHARASHTRA,15,1508,79.440217790000005,20.118294700000000
Yavatmal,MAHARASHTRA,15,1535,78.161006740000005,20.083281670000002
Jalna,MAHARASHTRA,15,1515,75.980746269999997,19.807501469999998
Ahmadnagar,MAHARASHTRA,15,1501,74.675289179999993,19.205255770000001
Hingoli,MAHARASHTRA,15,1513,77.101303720000004,19.620062239999999
Nanded,MAHARASHTRA,15,1520,77.617565679999998,19.111976540000001
Parbhani,MAHARASHTRA,15,1524,76.678136890000005,19.270989560000000
Pune,MAHARASHTRA,15,1525,74.068018649999999,18.570952999999999
Bid,MAHARASHTRA,15,1506,75.838162550000007,18.946492490000001
Mumbai,MAHARASHTRA,15,1512,72.851654049999993,18.961469540000000
Latur,MAHARASHTRA,15,1517,76.759967070000002,18.373985709999999
Osmanabad,MAHARASHTRA,15,1523,76.037571869999994,18.188358399999998
